% Model:              Sph.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jan 27 2025, 17:23
% Dimension:          3
% Nodes:              8372
% Expressions:        3
% Description:        magnetization deviation, X component, magnetization deviation, Y component, magnetization deviation, Z component
% Length unit:        nm
% x                       y                        z                        dm2X (1) @ lambda=2E-9                            dm2Y (1) @ lambda=2E-9                            dm2Z (1) @ lambda=2E-9
2.9926910185174163E-7     2.0229511787112847E-7    1.463695637000142E-7     0.031040450391442168+0.012113803190300433i        0.01211380319028717-0.03104045039143342i          0
3.152872632228935E-7      1.873687358146356E-7     1.326272587555977E-7     0.03104044939340116+0.012113802800806348i         0.012113802800793001-0.031040449393392414i        0
3.2260034641816055E-7     1.91278140009357E-7      1.054632922198047E-7     0.03104044713680127+0.012113801920148876i         0.012113801920135503-0.031040447136792413i        0
3.5285864971650736E-7     4.517207841730353E-8     1.4833601794582075E-7    0.031040451699957266+0.012113803700959738i        0.012113803700946392-0.03104045169994841i         0
3.485614896422723E-7      7.470192005019942E-8     1.4705457651137E-7       0.031040451396279617+0.01211380358244694i         0.012113803582433622-0.031040451396270815i        0
3.564240880912461E-7      -3.869217886422185E-8    1.4610333792099663E-7    0.031040452048104763+0.012113803836827294i        0.01211380383681392-0.03104045204809596i          0
2.969433107407819E-7      2.6255539998812697E-8    2.4792134720271936E-7    0.031040459910960848+0.012113806905374563i        0.012113806905361301-0.031040459910951935i        0
3.2383758401650877E-7     1.4355849146806204E-7    1.473269526085995E-7     0.03104045091314469+0.012113803393899367i         0.012113803393885993-0.031040450913135835i        0
3.0798025908110734E-7     1.6004310950165325E-7    1.4195362807647625E-7    0.031040450315128934+0.012113803160518506i        0.012113803160505244-0.031040450315120077i        0
3.160543981823445E-7      1.32444126277507E-7      1.7224335582661755E-7    0.03104045302658652+0.012113804218688188i         0.012113804218674896-0.03104045302657772i         0
3.2478819213505505E-7     8.856648488283348E-8     1.5640288636468785E-7    0.031040452012079903+0.01211380382276828i         0.012113803822755016-0.03104045201207121i         0
3.2374270119437677E-7     1.038695023775157E-7     1.7685037929621322E-7    0.031040453610918478+0.012113804446728792i        0.012113804446715474-0.031040453610909676i        0
